,RunId,iteration,Step,num_agents,avg_degree,tolerance,num_recommended,num_neighbor_conn,radical,schedule_type,Opinion_Clustering_Coefficient,Opinion_Homophily,Opinion_Modularity,Proportion_of_Uniform_Neighbors,Average_Radicalization
14,1,0,6,50,2,0.1,0,1,False,Sequential,0.3029206349206349,0.8297872340425532,0.27676550475328204,0.64,0.1980022710196236
15,1,0,8,50,2,0.1,0,1,False,Sequential,0.4029581529581529,0.7894736842105263,0.27643120960295475,0.6,0.1980022710196236
16,1,0,10,50,2,0.1,0,1,False,Sequential,0.4754179154179154,0.7941176470588235,0.2842776816608996,0.6,0.1980022710196236
17,1,0,12,50,2,0.1,0,1,False,Sequential,0.5095150405150404,0.802547770700637,0.3014929611748956,0.6,0.1980022710196236
18,1,0,14,50,2,0.1,0,1,False,Sequential,0.5366362787539259,0.7942857142857143,0.2904816326530612,0.6,0.1980022710196236
19,1,0,16,50,2,0.1,0,1,False,Sequential,0.5352639027639028,0.75,0.29856552738795833,0.6,0.1980022710196236
20,1,0,18,50,2,0.1,0,1,False,Sequential,0.5752511442805562,0.7572815533980582,0.2975303987180696,0.6,0.1980022710196236
21,1,0,20,50,2,0.1,0,1,False,Sequential,0.5785855451737805,0.7899543378995434,0.2927899751881737,0.6,0.198
22,2,0,0,50,2,0.1,0,5,True,Sequential,0.06,0.5344827586206896,0.05707491082045191,0.38,0.24874244899717013
23,2,0,2,50,2,0.1,0,5,True,Sequential,0.3826666666666665,0.9345794392523364,0.41064721809765037,0.8,0.2325246295321274
24,2,0,4,50,2,0.1,0,5,True,Sequential,0.5662596292596294,0.8972972972972973,0.3833601168736305,0.74,0.23199999999999998
25,2,0,6,50,2,0.1,0,5,True,Sequential,0.7573001443001445,0.88671875,0.37247467041015625,0.7,0.23199999999999998
26,2,0,8,50,2,0.1,0,5,True,Sequential,0.8389373077902488,0.9041095890410958,0.3631309814224057,0.68,0.23199999999999998
27,2,0,10,50,2,0.1,0,5,True,Sequential,0.8850183253279228,0.9079365079365079,0.3601461325270849,0.68,0.23199999999999998
28,2,0,12,50,2,0.1,0,5,True,Sequential,0.9228966862171194,0.911504424778761,0.37530564474726114,0.68,0.23199999999999998
29,2,0,14,50,2,0.1,0,5,True,Sequential,0.9397612671126603,0.9132947976878613,0.38061328477396505,0.68,0.23199999999999998
30,2,0,16,50,2,0.1,0,5,True,Sequential,0.9429912538441951,0.9142857142857143,0.3828857142857143,0.68,0.23199999999999998
31,2,0,18,50,2,0.1,0,5,True,Sequential,0.947537851037851,0.9150141643059491,0.3834835365021788,0.68,0.23199999999999998
32,2,0,20,50,2,0.1,0,5,True,Sequential,0.9493407160435023,0.9152542372881356,0.3829718471703534,0.68,0.23199999999999998
33,3,0,0,50,2,0.1,0,5,False,Sequential,0.0,0.42105263157894735,-0.0031163434903046794,0.46,0.22042689584196332
34,3,0,2,50,2,0.1,0,5,False,Sequential,0.30804040404040406,0.825,0.3537152777777778,0.58,0.19868233864902046
35,3,0,4,50,2,0.1,0,5,False,Sequential,0.5628150679729627,0.748792270531401,0.31007724801045533,0.54,0.20000000000000004
36,3,0,6,50,2,0.1,0,5,False,Sequential,0.6707337200123579,0.7765567765567766,0.29271156194233117,0.54,0.20000000000000004
37,3,0,8,50,2,0.1,0,5,False,Sequential,0.7305337557179663,0.801980198019802,0.2817969915803461,0.54,0.20000000000000004
38,3,0,10,50,2,0.1,0,5,False,Sequential,0.8096208183689002,0.7928994082840237,0.27945012429536775,0.54,0.20000000000000004
39,3,0,12,50,2,0.1,0,5,False,Sequential,0.8495701524511594,0.7988826815642458,0.28176008863643454,0.54,0.20000000000000004
40,3,0,14,50,2,0.1,0,5,False,Sequential,0.8688896356630912,0.8048780487804879,0.2866863492483163,0.54,0.20000000000000004
41,3,0,16,50,2,0.1,0,5,False,Sequential,0.8977135135396004,0.808,0.2912391111111111,0.54,0.20000000000000004
42,3,0,18,50,2,0.1,0,5,False,Sequential,0.904347633043285,0.8090185676392573,0.29171738350371845,0.54,0.20000000000000004
43,3,0,20,50,2,0.1,0,5,False,Sequential,0.9056304661522054,0.8100263852242744,0.29232600719850177,0.54,0.20000000000000004
44,4,0,0,50,2,0.1,1,1,True,Sequential,0.0,0.46153846153846156,0.03024326101249175,0.52,0.2528001271293574
45,4,0,2,50,2,0.1,1,1,True,Sequential,0.04,0.96,0.3832,0.86,0.23894878179968176
46,4,0,4,50,2,0.1,1,1,True,Sequential,0.08199999999999999,0.88,0.2998,0.7,0.24011302041131874
